report_id,observer_code,zone_id,observed_at,submitted_at,report_mode,odor,intensity,odor_type,environment,confidence,saw_forecast,memo,record_origin,idempotency_key,window_id
O00001,R01,Z1,2026-06-18 07:26:00,2026-06-18 07:28:07,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00001,W-20260618-0730
O00002,R02,Z3,2026-06-18 07:26:00,2026-06-18 07:28:54,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00002,W-20260618-0730
O00003,R15,Z2,2026-06-18 07:26:00,2026-06-18 07:28:20,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00003,W-20260618-0730
O00004,R20,Z1,2026-06-18 07:26:00,2026-06-18 07:27:31,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00004,W-20260618-0730
O00005,R12,Z2,2026-06-18 07:27:00,2026-06-18 07:29:41,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00005,W-20260618-0730
O00006,R19,Z2,2026-06-18 07:27:00,2026-06-18 07:27:55,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00006,W-20260618-0730
O00007,R09,Z3,2026-06-18 07:28:00,2026-06-18 07:28:57,scheduled,1.0,1,하수,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00007,W-20260618-0730
O00008,R16,Z2,2026-06-18 07:29:00,2026-06-18 07:31:42,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00008,W-20260618-0730
O00009,R18,Z1,2026-06-18 07:29:00,2026-06-18 07:30:27,scheduled,1.0,2,기타,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00009,W-20260618-0730
O00010,R10,Z3,2026-06-18 07:30:00,2026-06-18 07:31:46,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00010,W-20260618-0730
O00011,R11,Z2,2026-06-18 07:30:00,2026-06-18 07:31:15,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00011,W-20260618-0730
O00012,R04,Z1,2026-06-18 07:31:00,2026-06-18 07:32:44,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00012,W-20260618-0730
O00013,R06,Z1,2026-06-18 07:31:00,2026-06-18 07:33:26,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00013,W-20260618-0730
O00014,R07,Z3,2026-06-18 07:31:00,2026-06-18 07:33:58,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00014,W-20260618-0730
O00015,R05,Z2,2026-06-18 07:32:00,2026-06-18 07:34:29,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00015,W-20260618-0730
O00016,R08,Z2,2026-06-18 07:32:00,2026-06-18 07:34:39,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00016,W-20260618-0730
O00017,R13,Z3,2026-06-18 07:32:00,2026-06-18 07:33:16,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00017,W-20260618-0730
O00018,R03,Z1,2026-06-18 07:33:00,2026-06-18 07:34:00,scheduled,1.0,1,모름,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00018,W-20260618-0730
O00019,R14,Z3,2026-06-18 07:34:00,2026-06-18 07:34:50,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00019,W-20260618-0730
O00020,R17,Z1,2026-06-18 07:34:00,2026-06-18 07:34:50,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00020,W-20260618-0730
O00021,R07,Z3,2026-06-18 12:27:00,2026-06-18 12:29:58,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00021,W-20260618-1230
O00022,R09,Z3,2026-06-18 12:27:00,2026-06-18 12:27:43,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00022,W-20260618-1230
O00023,R16,Z2,2026-06-18 12:27:00,2026-06-18 12:28:26,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00023,W-20260618-1230
O00024,R01,Z1,2026-06-18 12:28:00,2026-06-18 12:31:10,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00024,W-20260618-1230
O00025,R04,Z1,2026-06-18 12:28:00,2026-06-18 12:29:03,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00025,W-20260618-1230
O00026,R17,Z1,2026-06-18 12:28:00,2026-06-18 12:30:25,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00026,W-20260618-1230
O00027,R08,Z2,2026-06-18 12:29:00,2026-06-18 12:30:53,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00027,W-20260618-1230
O00028,R18,Z1,2026-06-18 12:30:00,2026-06-18 12:33:39,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00028,W-20260618-1230
O00029,R05,Z2,2026-06-18 12:31:00,2026-06-18 12:32:58,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00029,W-20260618-1230
O00030,R06,Z1,2026-06-18 12:31:00,2026-06-18 12:33:12,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00030,W-20260618-1230
O00031,R11,Z2,2026-06-18 12:31:00,2026-06-18 12:33:51,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00031,W-20260618-1230
O00032,R14,Z3,2026-06-18 12:31:00,2026-06-18 12:34:29,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00032,W-20260618-1230
O00033,R19,Z2,2026-06-18 12:31:00,2026-06-18 12:33:01,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00033,W-20260618-1230
O00034,R02,Z3,2026-06-18 12:32:00,2026-06-18 12:34:48,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00034,W-20260618-1230
O00035,R03,Z1,2026-06-18 12:32:00,2026-06-18 12:32:51,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00035,W-20260618-1230
O00036,R15,Z2,2026-06-18 12:32:00,2026-06-18 12:34:00,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00036,W-20260618-1230
O00037,R12,Z2,2026-06-18 12:33:00,2026-06-18 12:34:10,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00037,W-20260618-1230
O00038,R20,Z1,2026-06-18 12:33:00,2026-06-18 12:34:01,scheduled,,0,모름,outdoor,low,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00038,W-20260618-1230
O00039,R13,Z3,2026-06-18 12:34:00,2026-06-18 12:34:57,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00039,W-20260618-1230
O00040,R13,Z3,2026-06-18 18:26:00,2026-06-18 18:29:08,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00040,W-20260618-1830
O00041,R16,Z2,2026-06-18 18:26:00,2026-06-18 18:28:35,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00041,W-20260618-1830
O00042,R14,Z3,2026-06-18 18:27:00,2026-06-18 18:30:06,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00042,W-20260618-1830
O00043,R20,Z1,2026-06-18 18:27:00,2026-06-18 18:27:55,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00043,W-20260618-1830
O00044,R05,Z2,2026-06-18 18:28:00,2026-06-18 18:29:01,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00044,W-20260618-1830
O00045,R02,Z3,2026-06-18 18:29:00,2026-06-18 18:30:36,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00045,W-20260618-1830
O00046,R04,Z1,2026-06-18 18:29:00,2026-06-18 18:30:05,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00046,W-20260618-1830
O00047,R17,Z1,2026-06-18 18:29:00,2026-06-18 18:29:54,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00047,W-20260618-1830
O00048,R06,Z1,2026-06-18 18:30:00,2026-06-18 18:31:55,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00048,W-20260618-1830
O00049,R10,Z3,2026-06-18 18:30:00,2026-06-18 18:31:28,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00049,W-20260618-1830
O00050,R12,Z2,2026-06-18 18:30:00,2026-06-18 18:33:16,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00050,W-20260618-1830
O00051,R18,Z1,2026-06-18 18:31:00,2026-06-18 18:32:26,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00051,W-20260618-1830
O00052,R03,Z1,2026-06-18 18:32:00,2026-06-18 18:33:48,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00052,W-20260618-1830
O00053,R07,Z3,2026-06-18 18:32:00,2026-06-18 18:33:33,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00053,W-20260618-1830
O00054,R09,Z3,2026-06-18 18:32:00,2026-06-18 18:32:54,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00054,W-20260618-1830
O00055,R11,Z2,2026-06-18 18:32:00,2026-06-18 18:32:49,scheduled,,0,모름,outdoor,low,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00055,W-20260618-1830
O00056,R19,Z2,2026-06-18 18:32:00,2026-06-18 18:35:01,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00056,W-20260618-1830
O00057,R08,Z2,2026-06-18 18:33:00,2026-06-18 18:36:09,scheduled,,0,모름,outdoor,low,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00057,W-20260618-1830
O00058,R15,Z2,2026-06-18 18:33:00,2026-06-18 18:34:13,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00058,W-20260618-1830
O00059,R01,Z1,2026-06-18 18:34:00,2026-06-18 18:37:02,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00059,W-20260618-1830
O00060,R05,Z2,2026-06-18 21:56:00,2026-06-18 21:59:03,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00060,W-20260618-2200
O00061,R19,Z2,2026-06-18 21:56:00,2026-06-18 21:58:35,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00061,W-20260618-2200
O00062,R01,Z1,2026-06-18 21:57:00,2026-06-18 22:00:14,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00062,W-20260618-2200
O00063,R18,Z1,2026-06-18 21:57:00,2026-06-18 21:59:23,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00063,W-20260618-2200
O00064,R06,Z1,2026-06-18 21:58:00,2026-06-18 22:01:06,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00064,W-20260618-2200
O00065,R11,Z2,2026-06-18 21:58:00,2026-06-18 22:00:05,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00065,W-20260618-2200
O00066,R17,Z1,2026-06-18 21:58:00,2026-06-18 22:01:01,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00066,W-20260618-2200
O00067,R20,Z1,2026-06-18 21:58:00,2026-06-18 22:00:24,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00067,W-20260618-2200
O00068,R09,Z3,2026-06-18 21:59:00,2026-06-18 22:02:08,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00068,W-20260618-2200
O00069,R12,Z2,2026-06-18 21:59:00,2026-06-18 22:02:06,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00069,W-20260618-2200
O00070,R16,Z2,2026-06-18 21:59:00,2026-06-18 22:00:32,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00070,W-20260618-2200
O00071,R03,Z1,2026-06-18 22:00:00,2026-06-18 22:01:02,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00071,W-20260618-2200
O00072,R14,Z3,2026-06-18 22:01:00,2026-06-18 22:01:44,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00072,W-20260618-2200
O00073,R15,Z2,2026-06-18 22:01:00,2026-06-18 22:03:51,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00073,W-20260618-2200
O00074,R02,Z3,2026-06-18 22:02:00,2026-06-18 22:05:24,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00074,W-20260618-2200
O00075,R04,Z1,2026-06-18 22:02:00,2026-06-18 22:03:35,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00075,W-20260618-2200
O00076,R07,Z3,2026-06-18 22:03:00,2026-06-18 22:04:35,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00076,W-20260618-2200
O00077,R13,Z3,2026-06-18 22:03:00,2026-06-18 22:05:44,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00077,W-20260618-2200
O00078,R08,Z2,2026-06-18 22:04:00,2026-06-18 22:06:40,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00078,W-20260618-2200
O00079,R10,Z3,2026-06-18 22:04:00,2026-06-18 22:05:16,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00079,W-20260618-2200
O00080,R11,Z2,2026-06-19 07:26:00,2026-06-19 07:29:09,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00080,W-20260619-0730
O00081,R13,Z3,2026-06-19 07:26:00,2026-06-19 07:28:33,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00081,W-20260619-0730
O00082,R16,Z2,2026-06-19 07:26:00,2026-06-19 07:27:10,scheduled,1.0,1,모름,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00082,W-20260619-0730
O00083,R01,Z1,2026-06-19 07:27:00,2026-06-19 07:28:05,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00083,W-20260619-0730
O00084,R09,Z3,2026-06-19 07:27:00,2026-06-19 07:30:22,scheduled,,0,모름,outdoor,low,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00084,W-20260619-0730
O00085,R02,Z3,2026-06-19 07:28:00,2026-06-19 07:30:37,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00085,W-20260619-0730
O00086,R08,Z2,2026-06-19 07:28:00,2026-06-19 07:28:54,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00086,W-20260619-0730
O00087,R17,Z1,2026-06-19 07:28:00,2026-06-19 07:29:27,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00087,W-20260619-0730
O00088,R07,Z3,2026-06-19 07:29:00,2026-06-19 07:30:32,scheduled,1.0,1,축산분뇨,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00088,W-20260619-0730
O00089,R14,Z3,2026-06-19 07:29:00,2026-06-19 07:30:06,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00089,W-20260619-0730
O00090,R19,Z2,2026-06-19 07:29:00,2026-06-19 07:29:43,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00090,W-20260619-0730
O00091,R10,Z3,2026-06-19 07:30:00,2026-06-19 07:32:50,scheduled,1.0,2,하수,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00091,W-20260619-0730
O00092,R04,Z1,2026-06-19 07:31:00,2026-06-19 07:32:24,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00092,W-20260619-0730
O00093,R12,Z2,2026-06-19 07:31:00,2026-06-19 07:33:43,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00093,W-20260619-0730
O00094,R15,Z2,2026-06-19 07:31:00,2026-06-19 07:31:47,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00094,W-20260619-0730
O00095,R18,Z1,2026-06-19 07:31:00,2026-06-19 07:34:35,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00095,W-20260619-0730
O00096,R06,Z1,2026-06-19 07:32:00,2026-06-19 07:32:43,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00096,W-20260619-0730
O00097,R05,Z2,2026-06-19 07:33:00,2026-06-19 07:35:09,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00097,W-20260619-0730
O00098,R03,Z1,2026-06-19 07:34:00,2026-06-19 07:36:15,scheduled,0.0,0,없음,outdoor,mid,0,제공 시나리오 · 실제 관측 아님,simulated,scenario:O00098,W-20260619-0730
