station_id,weather_at,wd,ws,temp,humidity,pressure,rain,quality_flag,weather_basis
427,2026-06-18 07:30:00,202.5,1.1,19.9,82,,0.0,ok,synthetic_climatology
427,2026-06-18 12:30:00,225.0,2.9,26.7,47,,0.0,ok,synthetic_climatology
427,2026-06-18 18:30:00,180.0,2.2,23.4,74,,0.0,ok,synthetic_climatology
427,2026-06-18 22:00:00,0.0,0.7,21.0,80,,0.0,ok,synthetic_climatology
427,2026-06-19 07:30:00,180.0,0.5,14.2,100,,0.5,ok,synthetic_climatology
427,2026-06-19 12:30:00,157.5,6.4,20.6,77,,1.5,ok,synthetic_climatology
427,2026-06-19 18:30:00,270.0,1.9,18.1,92,,0.0,ok,synthetic_climatology
427,2026-06-19 22:00:00,135.0,1.6,15.3,100,,0.0,ok,synthetic_climatology
427,2026-06-20 07:30:00,157.5,1.9,12.8,85,,0.0,ok,synthetic_climatology
427,2026-06-20 12:30:00,202.5,1.4,22.0,57,,0.0,ok,synthetic_climatology
427,2026-06-20 18:30:00,225.0,2.6,18.0,67,,0.0,ok,synthetic_climatology
427,2026-06-20 22:00:00,135.0,0.9,14.7,72,,0.0,ok,synthetic_climatology
427,2026-06-21 07:30:00,202.5,1.6,17.3,80,,0.0,ok,synthetic_climatology
427,2026-06-21 12:30:00,225.0,0.9,24.8,49,,0.0,ok,synthetic_climatology
427,2026-06-21 18:30:00,0.0,0.8,20.9,63,,0.0,ok,synthetic_climatology
427,2026-06-21 22:00:00,67.5,1.3,18.1,75,,0.0,ok,synthetic_climatology
427,2026-06-22 07:30:00,45.0,2.4,15.1,87,,0.0,ok,synthetic_climatology
427,2026-06-22 12:30:00,225.0,7.5,22.0,58,,0.0,ok,synthetic_climatology
427,2026-06-22 18:30:00,135.0,1.2,21.6,80,,2.5,ok,synthetic_climatology
427,2026-06-22 22:00:00,90.0,0.3,16.8,81,,0.0,ok,synthetic_climatology
427,2026-06-23 07:30:00,157.5,2.7,19.7,71,,0.0,ok,synthetic_climatology
427,2026-06-23 12:30:00,337.5,7.0,26.7,43,,0.0,ok,synthetic_climatology
427,2026-06-23 18:30:00,180.0,3.3,22.8,55,,0.0,ok,synthetic_climatology
427,2026-06-23 22:00:00,45.0,0.6,21.6,74,,0.0,ok,synthetic_climatology
427,2026-06-24 07:30:00,337.5,1.6,16.1,100,,4.0,ok,synthetic_climatology
427,2026-06-24 12:30:00,22.5,3.4,24.1,71,,0.0,ok,synthetic_climatology
427,2026-06-24 18:30:00,180.0,3.0,20.2,78,,1.5,ok,synthetic_climatology
427,2026-06-24 22:00:00,202.5,1.5,17.5,100,,1.0,ok,synthetic_climatology
427,2026-06-25 07:30:00,0.0,1.4,18.3,89,,0.0,ok,synthetic_climatology
427,2026-06-25 12:30:00,315.0,2.4,25.1,60,,0.0,ok,synthetic_climatology
427,2026-06-25 18:30:00,202.5,3.4,23.5,72,,0.0,ok,synthetic_climatology
427,2026-06-25 22:00:00,202.5,1.0,20.2,85,,0.0,ok,synthetic_climatology
427,2026-06-26 07:30:00,157.5,2.9,20.6,90,,0.0,ok,synthetic_climatology
427,2026-06-26 12:30:00,225.0,1.6,26.7,64,,0.0,ok,synthetic_climatology
427,2026-06-26 18:30:00,180.0,3.0,23.0,77,,0.0,ok,synthetic_climatology
