report_id,observer_code,zone_id,observed_at,submitted_at,report_mode,odor,intensity,odor_type,environment,confidence,saw_forecast,memo
S00001,R01,Z1,2026-09-02 07:42:00,2026-09-02 07:56:00,scheduled,0,0,없음,outdoor,low,0,
S00002,R02,Z2,2026-09-02 07:22:00,2026-09-02 07:30:00,scheduled,0,0,없음,outdoor,mid,1,
S00003,R04,Z1,2026-09-02 07:39:00,2026-09-02 07:48:00,scheduled,0,0,없음,outdoor,high,0,
S00004,R06,Z3,2026-09-02 07:38:00,2026-09-02 07:40:00,scheduled,1,1,기타,outdoor,low,0,
S00005,R07,Z1,2026-09-02 07:21:00,2026-09-02 07:32:00,scheduled,1,2,하수,outdoor,mid,0,
S00006,R08,Z2,2026-09-02 07:18:00,2026-09-02 07:20:00,scheduled,1,2,하수,outdoor,mid,1,
S00007,R09,Z3,2026-09-02 07:40:00,2026-09-02 07:42:00,scheduled,1,2,축산분뇨,outdoor,high,1,
S00008,R10,Z1,2026-09-02 07:36:00,2026-09-02 07:44:00,scheduled,0,0,없음,outdoor,high,1,
S00009,R11,Z2,2026-09-02 07:29:00,2026-09-02 07:30:00,scheduled,1,2,모름,outdoor,mid,0,
S00010,R12,Z3,2026-09-02 07:23:00,2026-09-02 07:27:00,scheduled,0,0,없음,outdoor,high,1,
S00011,R13,Z1,2026-09-02 07:26:00,2026-09-02 07:37:00,scheduled,1,2,축산분뇨,outdoor,high,0,
S00012,R14,Z2,2026-09-02 07:42:00,2026-09-02 07:54:00,scheduled,0,0,없음,outdoor,mid,0,
S00013,R15,Z3,2026-09-02 07:20:00,2026-09-02 07:30:00,scheduled,1,2,모름,outdoor,mid,0,
S00014,R16,Z1,2026-09-02 07:24:00,2026-09-02 07:33:00,scheduled,0,0,없음,outdoor,high,0,
S00015,R17,Z2,2026-09-02 07:39:00,2026-09-02 07:41:00,scheduled,0,0,없음,outdoor,high,0,
S00016,R18,Z3,2026-09-02 07:40:00,2026-09-02 07:50:00,scheduled,1,3,축산분뇨,outdoor,high,1,
S00017,R20,Z2,2026-09-02 07:37:00,2026-09-02 07:42:00,scheduled,0,0,없음,outdoor,mid,0,
S00018,R01,Z1,2026-09-02 12:31:00,2026-09-02 12:39:00,scheduled,0,0,없음,outdoor,high,0,
S00019,R04,Z1,2026-09-02 12:20:00,2026-09-02 12:32:00,scheduled,0,0,없음,outdoor,mid,1,
S00020,R05,Z2,2026-09-02 12:19:00,2026-09-02 12:31:00,scheduled,0,0,없음,outdoor,low,1,
S00021,R06,Z3,2026-09-02 12:31:00,2026-09-02 12:44:00,scheduled,0,0,없음,outdoor,mid,0,
S00022,R08,Z2,2026-09-02 12:25:00,2026-09-02 12:28:00,scheduled,0,0,없음,outdoor,high,0,
S00023,R09,Z3,2026-09-02 12:25:00,2026-09-02 12:33:00,scheduled,0,0,없음,outdoor,high,0,
S00024,R10,Z1,2026-09-02 12:36:00,2026-09-02 12:36:00,scheduled,1,3,축산분뇨,outdoor,mid,1,
S00025,R11,Z2,2026-09-02 12:39:00,2026-09-02 12:47:00,scheduled,0,0,없음,outdoor,mid,1,
S00026,R13,Z1,2026-09-02 12:32:00,2026-09-02 12:33:00,scheduled,0,0,없음,outdoor,mid,0,
S00027,R14,Z2,2026-09-02 12:22:00,2026-09-02 12:31:00,scheduled,0,0,없음,outdoor,high,0,
S00028,R15,Z3,2026-09-02 12:38:00,2026-09-02 12:45:00,scheduled,0,0,없음,outdoor,mid,0,
S00029,R16,Z1,2026-09-02 12:20:00,2026-09-02 12:32:00,scheduled,0,0,없음,outdoor,mid,1,
S00030,R17,Z2,2026-09-02 12:20:00,2026-09-02 12:24:00,scheduled,0,0,없음,outdoor,mid,1,
S00031,R19,Z1,2026-09-02 12:37:00,2026-09-02 12:40:00,scheduled,1,2,축산분뇨,outdoor,mid,0,
