지점,지점명,일시,풍향(deg),풍속(m/s),기온(°C),습도(%),현지기압(hPa),강수량(mm)
(확인필요),김포(예시),2026-09-02 00:00,211.5,0.9,19.2,59.9,1008.7,-
(확인필요),김포(예시),2026-09-02 01:00,93.3,2.7,18.7,89.8,1007.7,-
(확인필요),김포(예시),2026-09-02 02:00,47.3,2.6,19.5,72.8,1009.2,-
(확인필요),김포(예시),2026-09-02 03:00,323.9,0.6,21.1,75.0,1007.6,-
(확인필요),김포(예시),2026-09-02 04:00,97.9,0.5,19.5,89.9,1008.5,-
(확인필요),김포(예시),2026-09-02 05:00,96.5,4.3,19.5,98.0,1010.2,-
(확인필요),김포(예시),2026-09-02 06:00,49.1,2.7,21.5,82.0,1008.9,-
(확인필요),김포(예시),2026-09-02 07:00,38.7,2.8,21.3,58.8,1008.5,-
(확인필요),김포(예시),2026-09-02 08:00,130.7,3.7,24.3,50.7,1009.2,-
(확인필요),김포(예시),2026-09-02 09:00,310.8,2.1,24.0,67.0,1009.3,-
(확인필요),김포(예시),2026-09-02 10:00,212.2,1.1,27.0,67.3,1006.9,0.1
(확인필요),김포(예시),2026-09-02 11:00,270.8,1.9,26.1,55.7,1009.5,-
(확인필요),김포(예시),2026-09-02 12:00,27.5,1.1,27.7,52.3,1007.8,-
(확인필요),김포(예시),2026-09-02 13:00,5.4,1.3,26.8,49.0,1009.4,-
(확인필요),김포(예시),2026-09-02 14:00,228.1,0.5,25.9,64.8,1008.3,-
(확인필요),김포(예시),2026-09-02 15:00,30.9,1.9,25.9,49.2,1008.7,-
(확인필요),김포(예시),2026-09-02 16:00,346.9,0.7,25.4,47.7,1010.4,-
(확인필요),김포(예시),2026-09-02 17:00,221.2,1.2,25.3,76.7,1008.9,-
(확인필요),김포(예시),2026-09-02 18:00,355.9,1.1,24.7,63.2,1010.4,-
(확인필요),김포(예시),2026-09-02 19:00,222.6,0.4,24.2,47.6,1008.3,-
(확인필요),김포(예시),2026-09-02 20:00,351.4,1.3,21.9,55.6,1009.9,-
(확인필요),김포(예시),2026-09-02 21:00,13.8,2.1,21.8,95.5,1008.5,2.8
(확인필요),김포(예시),2026-09-02 22:00,159.6,2.3,19.8,67.6,1011.5,-
(확인필요),김포(예시),2026-09-02 23:00,314.7,2.6,19.7,76.8,1009.9,-
(확인필요),김포(예시),2026-09-03 00:00,211.0,3.8,17.9,80.7,1011.0,-
(확인필요),김포(예시),2026-09-03 01:00,80.1,0.6,20.0,72.2,1010.6,-
(확인필요),김포(예시),2026-09-03 02:00,344.2,1.5,18.8,80.4,1012.7,-
(확인필요),김포(예시),2026-09-03 03:00,266.3,2.1,21.0,71.7,1010.3,-
(확인필요),김포(예시),2026-09-03 04:00,201.8,0.9,18.7,69.7,1008.8,-
(확인필요),김포(예시),2026-09-03 05:00,59.8,1.0,19.1,79.9,1009.7,-
(확인필요),김포(예시),2026-09-03 06:00,259.4,1.3,22.8,77.1,1011.4,-
(확인필요),김포(예시),2026-09-03 07:00,77.5,1.4,24.5,60.1,1013.0,-
(확인필요),김포(예시),2026-09-03 08:00,41.4,0.9,23.2,63.9,1010.9,-
(확인필요),김포(예시),2026-09-03 09:00,135.4,0.2,24.5,56.9,1012.2,-
(확인필요),김포(예시),2026-09-03 10:00,7.2,1.5,25.8,44.3,1010.4,-
(확인필요),김포(예시),2026-09-03 11:00,45.5,1.4,26.9,77.5,1009.7,-
(확인필요),김포(예시),2026-09-03 12:00,43.3,2.3,26.2,57.8,1009.2,-
(확인필요),김포(예시),2026-09-03 13:00,335.6,1.6,26.9,72.9,1011.5,-
(확인필요),김포(예시),2026-09-03 14:00,48.3,1.4,26.9,51.2,1009.3,-
(확인필요),김포(예시),2026-09-03 15:00,40.0,0.7,26.7,57.0,1010.7,-
(확인필요),김포(예시),2026-09-03 16:00,20.0,0.9,24.9,59.2,1010.9,-
(확인필요),김포(예시),2026-09-03 17:00,288.8,0.9,23.8,57.0,1009.6,-
(확인필요),김포(예시),2026-09-03 18:00,43.4,0.6,22.9,57.0,1010.0,-
(확인필요),김포(예시),2026-09-03 19:00,36.8,1.1,23.1,76.2,1011.6,-
(확인필요),김포(예시),2026-09-03 20:00,293.7,1.0,23.5,58.7,1011.8,0.1
(확인필요),김포(예시),2026-09-03 21:00,32.7,2.9,20.2,86.2,1012.1,-
(확인필요),김포(예시),2026-09-03 22:00,332.7,3.6,21.2,78.2,1009.1,-
(확인필요),김포(예시),2026-09-03 23:00,48.9,1.4,20.2,86.1,1012.3,0.5
(확인필요),김포(예시),2026-09-04 00:00,105.4,1.7,18.6,69.5,1011.8,-
(확인필요),김포(예시),2026-09-04 01:00,223.6,1.0,18.8,75.4,1012.0,-
(확인필요),김포(예시),2026-09-04 02:00,155.3,1.4,17.4,79.1,1012.1,-
(확인필요),김포(예시),2026-09-04 03:00,24.7,1.2,17.5,82.1,1011.9,-
(확인필요),김포(예시),2026-09-04 04:00,16.4,0.7,19.4,55.2,1011.4,-
(확인필요),김포(예시),2026-09-04 05:00,174.5,1.8,22.2,74.9,1011.7,-
(확인필요),김포(예시),2026-09-04 06:00,171.1,3.1,22.2,74.2,1011.8,-
(확인필요),김포(예시),2026-09-04 07:00,48.3,2.7,22.0,66.3,1012.7,-
(확인필요),김포(예시),2026-09-04 08:00,269.5,0.9,23.0,47.4,1013.0,-
(확인필요),김포(예시),2026-09-04 09:00,329.1,1.1,24.6,75.2,1012.0,-
(확인필요),김포(예시),2026-09-04 10:00,60.5,0.6,24.5,40.1,1010.2,-
(확인필요),김포(예시),2026-09-04 11:00,320.9,3.6,27.6,51.3,1012.1,-
(확인필요),김포(예시),2026-09-04 12:00,34.6,2.4,24.9,46.6,1013.1,-
(확인필요),김포(예시),2026-09-04 13:00,239.2,2.0,25.4,68.9,1011.5,-
(확인필요),김포(예시),2026-09-04 14:00,201.5,0.6,24.8,59.4,1012.2,-
(확인필요),김포(예시),2026-09-04 15:00,232.8,1.8,24.3,55.9,1012.3,-
(확인필요),김포(예시),2026-09-04 16:00,189.5,1.6,27.9,63.0,1012.4,-
(확인필요),김포(예시),2026-09-04 17:00,23.9,1.6,23.2,62.9,1008.6,-
(확인필요),김포(예시),2026-09-04 18:00,27.5,2.2,23.6,80.4,1012.0,-
(확인필요),김포(예시),2026-09-04 19:00,298.7,0.5,23.0,62.3,1012.4,1.1
(확인필요),김포(예시),2026-09-04 20:00,9.0,2.5,22.5,77.5,1012.6,-
(확인필요),김포(예시),2026-09-04 21:00,22.1,2.7,19.1,66.8,1012.4,-
(확인필요),김포(예시),2026-09-04 22:00,42.2,1.2,20.4,83.9,1010.5,-
(확인필요),김포(예시),2026-09-04 23:00,257.1,4.5,20.9,79.1,1011.5,-
(확인필요),김포(예시),2026-09-05 00:00,43.0,2.5,19.7,76.8,1012.3,-
(확인필요),김포(예시),2026-09-05 01:00,296.5,7.1,18.7,67.5,1013.0,-
(확인필요),김포(예시),2026-09-05 02:00,47.1,2.3,19.3,79.5,1012.1,-
(확인필요),김포(예시),2026-09-05 03:00,40.6,0.5,19.7,87.5,1012.0,-
(확인필요),김포(예시),2026-09-05 04:00,280.5,2.7,19.2,69.9,1009.9,-
(확인필요),김포(예시),2026-09-05 05:00,317.0,2.6,22.3,67.3,1014.0,-
(확인필요),김포(예시),2026-09-05 06:00,356.8,1.6,21.2,72.3,1012.9,-
(확인필요),김포(예시),2026-09-05 07:00,346.2,0.2,22.1,47.4,1010.1,2.6
(확인필요),김포(예시),2026-09-05 08:00,200.5,6.1,22.4,56.0,1011.7,-
(확인필요),김포(예시),2026-09-05 09:00,221.5,1.6,25.3,53.0,1012.7,-
(확인필요),김포(예시),2026-09-05 10:00,44.7,1.6,25.6,82.5,1011.8,1.5
(확인필요),김포(예시),2026-09-05 11:00,31.2,2.3,26.9,62.8,1011.4,-
(확인필요),김포(예시),2026-09-05 12:00,28.1,1.2,26.8,50.7,1011.6,-
(확인필요),김포(예시),2026-09-05 13:00,159.9,0.5,26.0,55.2,1012.6,-
(확인필요),김포(예시),2026-09-05 14:00,19.5,1.2,28.0,64.2,1013.0,-
(확인필요),김포(예시),2026-09-05 15:00,168.4,2.3,26.7,56.7,1011.5,-
(확인필요),김포(예시),2026-09-05 16:00,174.7,1.6,25.3,67.4,1011.6,-
(확인필요),김포(예시),2026-09-05 17:00,42.5,0.8,25.5,61.3,1009.9,-
(확인필요),김포(예시),2026-09-05 18:00,9.7,2.3,23.1,61.6,1010.1,-
(확인필요),김포(예시),2026-09-05 19:00,164.5,1.2,22.2,73.2,1011.0,-
(확인필요),김포(예시),2026-09-05 20:00,25.0,0.5,23.5,61.3,1012.7,-
(확인필요),김포(예시),2026-09-05 21:00,23.6,1.4,21.1,78.3,1011.8,-
(확인필요),김포(예시),2026-09-05 22:00,359.3,1.4,19.2,71.3,1009.7,-
(확인필요),김포(예시),2026-09-05 23:00,111.9,0.5,20.7,66.5,1011.6,-
(확인필요),김포(예시),2026-09-06 00:00,92.7,1.4,19.3,71.2,1009.4,-
(확인필요),김포(예시),2026-09-06 01:00,211.0,1.7,18.7,76.7,1010.3,-
(확인필요),김포(예시),2026-09-06 02:00,37.6,1.5,20.6,79.4,1008.8,-
(확인필요),김포(예시),2026-09-06 03:00,349.0,0.6,19.2,66.5,1010.5,-
(확인필요),김포(예시),2026-09-06 04:00,16.6,0.7,20.7,81.3,1010.9,-
(확인필요),김포(예시),2026-09-06 05:00,272.1,3.4,21.0,97.9,1008.8,-
(확인필요),김포(예시),2026-09-06 06:00,330.9,1.2,21.0,66.8,1010.3,-
(확인필요),김포(예시),2026-09-06 07:00,40.0,1.4,20.2,51.6,1009.4,-
(확인필요),김포(예시),2026-09-06 08:00,267.0,2.0,24.9,50.1,1011.9,-
(확인필요),김포(예시),2026-09-06 09:00,7.6,0.9,25.1,64.2,1008.0,-
(확인필요),김포(예시),2026-09-06 10:00,340.1,1.9,25.1,75.4,1010.3,-
(확인필요),김포(예시),2026-09-06 11:00,4.6,1.5,27.5,69.2,1011.7,-
