model_status,window_start,zone_id,zone_name,basis,source,status,p_detect,level,wind_from_deg,wind_from_sector,move_to_deg,move_to_sector,wind_speed,type_top,type_probs,direction_status,aligned_candidates,direction_note
예비 실험·미보정,2026-09-19 18:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.218,낮음,270.0,서,90.0,동,2.4,축산계 추정,"{""기타/미확인"": 0.293, ""축산계 추정"": 0.565, ""하수계 추정"": 0.142}",정렬,"김포 하성·월곶 축산지역(축산계,0.53)",서쪽에서 유입 추정
예비 실험·미보정,2026-09-19 18:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.165,낮음,270.0,서,90.0,동,2.4,축산계 추정,"{""기타/미확인"": 0.312, ""축산계 추정"": 0.599, ""하수계 추정"": 0.09}",정렬,"김포 하성·월곶 축산지역(축산계,0.51)",서쪽에서 유입 추정
예비 실험·미보정,2026-09-19 18:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.292,낮음,270.0,서,90.0,동,2.4,축산계 추정,"{""기타/미확인"": 0.296, ""축산계 추정"": 0.536, ""하수계 추정"": 0.169}",정렬,"김포 하성·월곶 축산지역(축산계,0.56)",서쪽에서 유입 추정
예비 실험·미보정,2026-09-19 21:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.804,높음,67.5,동북동,247.5,서남서,0.9,축산계 추정,"{""기타/미확인"": 0.22, ""축산계 추정"": 0.661, ""하수계 추정"": 0.119}",정렬,"고양 구산동 축산지역(축산계,0.78)",동북동쪽에서 유입 추정
예비 실험·미보정,2026-09-19 21:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.732,보통,67.5,동북동,247.5,서남서,0.9,축산계 추정,"{""기타/미확인"": 0.246, ""축산계 추정"": 0.672, ""하수계 추정"": 0.082}",여러 방향 가능,"고양 구산동 축산지역(축산계,0.67); 고양 하수처리시설 주변(하수계,0.54)",상위 후보 정렬도 차이 작음
예비 실험·미보정,2026-09-19 21:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.847,높음,67.5,동북동,247.5,서남서,0.9,축산계 추정,"{""기타/미확인"": 0.245, ""축산계 추정"": 0.625, ""하수계 추정"": 0.131}",정렬,"고양 구산동 축산지역(축산계,0.61)",동북동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 00:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.854,높음,45.0,북동,225.0,남서,0.3,축산계 추정,"{""기타/미확인"": 0.163, ""축산계 추정"": 0.649, ""하수계 추정"": 0.188}",방향 보류(약풍),,풍속 0.5 m/s 미만
예비 실험·미보정,2026-09-20 00:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.799,높음,45.0,북동,225.0,남서,0.3,축산계 추정,"{""기타/미확인"": 0.18, ""축산계 추정"": 0.698, ""하수계 추정"": 0.122}",방향 보류(약풍),,풍속 0.5 m/s 미만
예비 실험·미보정,2026-09-20 00:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.895,높음,45.0,북동,225.0,남서,0.3,축산계 추정,"{""기타/미확인"": 0.172, ""축산계 추정"": 0.588, ""하수계 추정"": 0.24}",방향 보류(약풍),,풍속 0.5 m/s 미만
예비 실험·미보정,2026-09-20 03:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.879,높음,22.5,북북동,202.5,남남서,0.7,하수계 추정,"{""기타/미확인"": 0.31, ""축산계 추정"": 0.343, ""하수계 추정"": 0.347}",정렬,"고양 구산동 축산지역(축산계,0.72)",북북동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 03:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.837,높음,22.5,북북동,202.5,남남서,0.7,축산계 추정,"{""기타/미확인"": 0.348, ""축산계 추정"": 0.429, ""하수계 추정"": 0.224}",정렬,"고양 구산동 축산지역(축산계,0.83)",북북동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 03:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.925,높음,22.5,북북동,202.5,남남서,0.7,축산계 추정,"{""기타/미확인"": 0.278, ""축산계 추정"": 0.384, ""하수계 추정"": 0.338}",정렬,"고양 구산동 축산지역(축산계,0.89)",북북동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 06:00:00,U01,운양동 북측,forecast_csv,,예비 추정,0.863,높음,45.0,북동,225.0,남서,1.1,축산계 추정,"{""기타/미확인"": 0.208, ""축산계 추정"": 0.682, ""하수계 추정"": 0.11}",정렬,"고양 구산동 축산지역(축산계,0.97)",북동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 06:00:00,U02,운양동 중앙,forecast_csv,,예비 추정,0.811,높음,45.0,북동,225.0,남서,1.1,축산계 추정,"{""기타/미확인"": 0.222, ""축산계 추정"": 0.709, ""하수계 추정"": 0.069}",정렬,"고양 구산동 축산지역(축산계,0.92)",북동쪽에서 유입 추정
예비 실험·미보정,2026-09-20 06:00:00,U03,운양동 동측,forecast_csv,,예비 추정,0.902,높음,45.0,북동,225.0,남서,1.1,축산계 추정,"{""기타/미확인"": 0.225, ""축산계 추정"": 0.631, ""하수계 추정"": 0.144}",정렬,"고양 구산동 축산지역(축산계,0.86)",북동쪽에서 유입 추정
